Player,Nat,Pos,Squad,Age,Wages,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,PrgC,PrgP,Gls,Ast,Fls,Fld,Int,TklW,OG,Recov,GA,Saves,Save%
Aaron Cresswell,ENG,DF,West Ham,32,"2,600,000",28,24,"2,235",24.8,0,1,3,0,35,145,0,0.04,9,9,27,11,0,120,0,0,0
Aaron Hickey,SCO,DF,Brentford,20,"1,560,000",26,23,"1,916",21.3,0,1,7,0,41,81,0,0.05,20,35,17,26,0,111,0,0,0
Aaron Ramsdale,ENG,GK,Arsenal,24,"3,120,000",38,38,"3,420",38,0,0,1,0,0,8,0,0,0,4,0,1,0,33,43,94,70.6
Aaron Wan-Bissaka,ENG,DF,Manchester Utd,24,"4,680,000",19,16,"1,435",15.9,0,0,2,0,41,55,0,0,11,2,22,25,0,73,0,0,0
Abdoulaye Doucouré,MLI,MF,Everton,29,"6,240,000",25,17,"1,533",17,5,2,6,1,23,38,0.29,0.12,21,4,13,20,0,100,0,0,0
Adam Armstrong,ENG,FW,Southampton,25,"2,860,000",30,14,"1,335",14.8,2,1,2,0,39,16,0.13,0.07,17,9,5,9,0,54,0,0,0
Adam Forshaw,ENG,MF,Leeds United,30,"1,040,000",12,5,479,5.3,0,0,0,0,4,33,0,0,6,5,4,9,0,37,0,0,0
Adam Lallana,ENG,MF,Brighton,34,"4,680,000",16,12,722,8,2,1,0,0,10,33,0.25,0.12,2,7,2,4,0,25,0,0,0
Adam Smith,ENG,DF,Bournemouth,31,"1,820,000",37,34,"2,943",32.7,0,1,11,0,28,83,0,0.03,29,27,25,29,0,128,0,0,0
Adam Webster,ENG,DF,Brighton,27,"2,860,000",27,23,"1,985",22.1,0,0,2,0,19,119,0,0,10,6,19,12,1,143,0,0,0
Adama Traoré,ESP,FW,Wolves,26,"2,860,000",34,12,"1,496",16.6,2,1,2,0,85,36,0.12,0.06,21,34,3,7,0,66,0,0,0
Ainsley Maitland-Niles,ENG,DF,Southampton,24,"1,820,000",22,13,"1,407",15.6,0,0,3,0,15,57,0,0,13,8,22,24,0,90,0,0,0
Albert Sambi Lokonga,BEL,MF,Arsenal,22,"2,600,000",6,2,198,2.2,0,0,0,0,0,12,0,0,1,5,5,1,0,14,0,0,0
